Name ,Type,caffeine ,ingredients,Brand ,Package  type,amount per cup volume,amount per cut weight G,steep time (mins),link 
Mango Black Tea Decaf,Black Tea (Decaf),False,"DECAF Black Tea, Mango Flavor",MarketSpice,Loose Leaf,1 tsp / 6 oz,2.0,3-5,https://marketspice.com/products/mango-steam-pressure-decaf-tea
Scarlet Rishi botanical blend,Herbal Blend,False,Botanical blend (varies by batch; commonly hibiscus/rosehips/citrus peel/herbs & natural flavors),Rishi,Loose Leaf,1 tsp / 8 oz,2.0,5-7,
Sunset in Seattle,Herbal Blend,False,"Rosehips, Vanilla Powder, Chamomile, Raspberry Leaves, Lemon Grass, Wild Cherry Bark, Lavender, Peppermint, Spearmint, Lemon Peel & Spices",MarketSpice,Loose Leaf,1 tsp / 8 oz,2.0,5-7,https://marketspice.com/products/sunset-in-seattle-tea
Black tea mango berry ,Black Tea (Flavored),True,"Black Tea, Mango Flavoring, Berry Flavoring",MarketSpice,Iced Tea (6-pack),N/A (ready-to-drink),,,https://marketspice.com/products/mango-berry-tea?srsltid=AfmBOoqlw_s3eeCPBE2Fui1y_1jKTymA_fpyYpy640KdO1FDEGbRYueP
Dragon Oolong,Oolong Tea,True,Oolong Tea,The Republic of Tea,Tea Bags,1 tea bag / 6 oz,2.0,3,https://marketspice.com/products/huckleberry-tea?_pos=3&_sid=a1bca0e20&_ss=r
Deaf black Huckleberry,"Black Tea (Decaf, Flavored)",False,"DECAF Black Tea, Flavoring",MarketSpice,Tea Bags,1 tea bag / 8 oz,2.0,3-5,https://marketspice.com/products/huckleberry-decaf-24ct-teabag-box
Bridgerton Featherington - blood orange momosa Tea ,Herbal Blend,False,Organic Red Rooibos (leaf); Orange (peel); Natural Blood Orange Flavor; Natural Mimosa Flavor,The Republic of Tea,Tea Bags,1 tea bag / 6 oz,2.0,5-7,https://www.republicoftea.com/bridgerton-featherington-blood-orange-mimosa-herbal-tea/p/v21300/
Pineapple Lychee Hibiscus,Herbal Hibiscus Blend,False,Organic Hibiscus (flower); Organic Green Rooibos (leaf); Organic Orange Peel; Natural Pineapple & Lychee Flavors; Organic Licorice Root; Organic Monk Fruit,The Republic of Tea,Tea Bags,1 tea bag / 6 oz,2.0,5-7,
Hawiian Breeze,Herbal Blend,False,Tropical fruit herbal blend (ingredients not found),Market Spice ,Tea Bags,1 tea bag / 8 oz,2.0,5,
12th Breakfast Blend,Black Tea,True,Black tea blend,,Tea Bags,1 tea bag / 8 oz,2.0,3-5,idk 
Spiced Cider,Herbal Blend,False,Spiced apple/cider-style herbal blend,Market Spice ,Tea Bags,1 tea bag / 8 oz,2.0,5-7,
Well Rested Herbal Tea ,Herbal Blend,False,Herbal blend for sleep (ingredients not found),The Republic of Tea,Tea Bags,1 tea bag / 6 oz,2.0,5-7,
Hibiscus Watermelon,Herbal Hibiscus Blend,False,"Hibiscus (flower), Apple, Natural Watermelon Flavor, Stevia (leaf) (exact blend may vary)",The Republic of Tea,Tea Bags,1 tea bag / 6 oz,2.0,5-7,
Kuki-Cha Tokusen ,Green Tea (Kukicha),True,Kukicha (green tea stems/twigs),Masuda-en,Loose Leaf,1 tsp / 8 oz,2.0,2-3,
Iced Passion ,Herbal Blend,False,"Hibiscus flowers, orange peel, rose hips, lemongrass, licorice root, cinnamon, passion fruit flavor and other natural flavors",Tazo,Tea Bags,1 tea bag / 8 oz,2.0,5,
Fine English Breakfast Blend,Black Tea,True,Black tea blend,New English Teas,Tea Bags,1 tea bag / 8 oz,2.0,3-5,
Liption Iced Tea,Black Tea,True,Black tea,Lipton,Tea Bags,1 tea bag / 8 oz (or per pitcher directions),2.0,3-5,
Jingle Bell Black Tea,Black Tea (Flavored),True,"Black Tea, Peppermint Leaves, Rosebuds & Petals, Stevia Herb, Coffee Creme Flavor",MarketSpice,Loose Leaf,1 tsp / 8 oz,2.0,3-5,https://marketspice.com/products/jingle-bell-black-tea
Ube Mango Sorbet,Herbal Blend,False,"Organic green rooibos, apple, organic white hibiscus, blue butterfly pea flower, ube, mango and natural flavors",The Republic of Tea,Tea Bags,1 tea bag / 8 oz,2.0,5-7,https://www.worldmarket.com/p/the-republic-of-tea-ube-mango-sorbet-herbal-tea-36-count-645796.html
fox and rabbit Herbal ,Herbal Tisane (Rooibos),False,"Rooibos Tea, Rosehips, Fruit Pieces, Calendula Flowers, Mango & Apricot Flavorings",MarketSpice,Loose Leaf,1 tsp / 8 oz,2.0,5-6,https://marketspice.com/products/fox-rabbit-story-time-tisane-tea
Scottish Breakfast Tea,Black Tea,True,Black tea blend (Scottish Breakfast style),Edinburgh Tea & Coffee,Tea Bags,1 tea bag / 8 oz,2.0,3-5,
Get Burning Herb Tea,Herbal Blend,False,Organic Green Rooibos (leaf); Ginger (root); Cinnamon (cassia); Holy Basil (leaf); Black Pepper (berry); Cloves (bud); Chili Peppers (fruit); Cordyceps Extract (fungus); Stevia (leaf); Natural flavor,The Republic of Tea,Tea Bags,1 tea bag / 6 oz,2.0,5-7,https://www.republicoftea.com/get-burning-herb-tea-for-metabolism/p/v01090/
Earl Grey ,Black Tea (Earl Grey),True,Black tea with bergamot oil / natural bergamot flavor,Numi,Tea Bags,1 tea bag / 8 oz,2.0,3-4,
numi breakfest blend ,Black Tea,True,Black tea blend,Numi,Tea Bags,1 tea bag / 8 oz,2.0,3-5,
chamomile and lavender ,Herbal Tea,False,"Chamomile, lavender and other herbal ingredients (brand blend)",Bigelow,Tea Bags,1 tea bag / 8 oz,2.0,4,
Thistle tea,Herbal Tea,False,Herbal blend (thistle-themed; ingredients not found),Edinburgh Tea & Coffee,Tea Bags,1 tea bag / 8 oz,2.0,5,
Scottish Breakfast Tea,Black Tea,True,Black tea blend (Scottish Breakfast style),Edinburgh Tea & Coffee,Tea Bags,1 tea bag / 8 oz,2.0,3-5,
Cardamon Cinnamon,Herbal Tea,False,"Cinnamon, ginger, cardamom, chicory, black pepper, cloves, carob, natural flavor and star anise",The Republic of Tea,Tea Bags,1 tea bag / 6 oz,2.0,5-7,https://www.republicoftea.com/cardamom-cinnamon-herbal-tea/p/v00677/
Organic mint fields ,Herbal Mint Tea,False,Organic peppermint and/or spearmint (exact blend not found),The Republic of Tea,Tea Bags,1 tea bag / 6-8 oz,2.0,5-7,
Lady Grey Tea,Black Tea (Earl Grey/Lady Grey),True,Black tea with citrus/bergamot flavoring,Twinings,Tea Bags,1 tea bag / 8 oz,2.0,3-4,
